commGIS,ProvCap,Distance
211013,Takeo,12.72874734
210913,Takeo,24.40299151
90201,Krong Preah Sihanouk,57.28585986
211007,Takeo,11.69189082
90201,Krong Preah Sihanouk,56.82118791
210905,Takeo,16.31343536
70407,Kampot,42.60971706
180204,Krong Preah Sihanouk,37.62265374
200206,Svay Rieng,20.37216337
200109,Svay Rieng,39.52751658
211008,Takeo,7.344908516
180209,Kampot,39.61896641
200104,Svay Rieng,34.34825485
70406,Takeo,30.74217981
200201,Svay Rieng,19.98591504
90201,Krong Preah Sihanouk,60.1920748
140604,Takeo,47.57944619
140605,Takeo,57.34279293
80502,Takeo,42.66663232
210103,Takeo,26.96879685
90201,Krong Preah Sihanouk,59.8100796
200202,Svay Rieng,22.04970242
200203,Svay Rieng,24.66825277
210903,Takeo,20.69409341
211012,Takeo,6.378721145
210803,Takeo,3.466418646
210911,Takeo,10.93857532
90804,Krong Preah Sihanouk,51.89741547
200208,Svay Rieng,13.56924311
210105,Takeo,22.39761294
200205,Svay Rieng,14.55063582
211009,Takeo,12.60323914
200105,Svay Rieng,36.49752728
210910,Takeo,22.10037426
70403,Takeo,41.2459272
200207,Svay Rieng,27.48531226
140908,Svay Rieng,49.72678016
140302,Svay Rieng,27.72601656
210901,Takeo,13.42415341
140609,Svay Rieng,55.51574445
200106,Svay Rieng,41.88895352
80507,Takeo,42.23308272
140608,Takeo,47.44553534
70700,Kampot,28.7413157
210101,Takeo,18.74289131
210912,Takeo,16.22817635
210802,Takeo,1.845099448
210801,Takeo,4.688882798
200107,Svay Rieng,24.99629176
200209,Svay Rieng,20.85636751
210915,Takeo,24.18895707
80412,Takeo,28.62291611
200204,Svay Rieng,11.44378341
200707,Svay Rieng,15.59725926
200108,Svay Rieng,30.44636306
70405,Takeo,30.93664882
200502,Svay Rieng,6.904653697
200101,Svay Rieng,35.45579856
210904,Takeo,6.69283483
140902,Svay Rieng,44.25401499
200511,Svay Rieng,18.30349359
80401,Takeo,33.68035163
90201,Krong Preah Sihanouk,52.12728304
90202,Koh Kong,63.94478441
90604,Krong Preah Sihanouk,40.47020899
90202,Koh Kong,62.6968629
140303,Svay Rieng,32.91064446
90202,Koh Kong,62.66201495
200603,Svay Rieng,2.343660949
210102,Takeo,21.53249928
140312,Svay Rieng,27.67108245
210106,Takeo,14.20912661
140304,Svay Rieng,24.03408816
200210,Svay Rieng,6.597708869
140606,Prey Veng,48.96733454
210706,Takeo,6.76504065
210908,Takeo,10.87205687
80409,Takeo,37.83497924
