CommCode,easting,northing
100403,634279,1420369
100404,612413,1423263
21301,310697,1421209
20105,292205,1419812
240103,237951,1411342
60802,455069,1412738
240104,233108,1414535
240101,244944,1415618
60504,522067,1416344
60807,425186,1414894
150104,368033,1415608
20607,327852,1420778
100402,589922,1420142
20101,301484,1424422
110401,761720,1411437
60812,446435,1418000
110402,709188,1409401
60803,463534,1424152
10804,269106,1531054
10703,291193,1536609
160607,725389,1533170
10807,276696,1535583
130703,489854,1527878
190508,593832,1532994
130705,510616,1529522
130704,500236,1535355
171402,382205,1534573
171405,371068,1538585
160909,697630,1533922
171403,393751,1529777
10705,299882,1535591
171302,417693,1528369
130403,480628,1532030
10303,307724,1527331
190107,666428,1520633
160606,730553,1529073
171205,333824,1530052
160903,688738,1529242
10801,300556,1528307
190505,570697,1518054
190509,589034,1519461
130201,549915,1518369
190404,617745,1520581
190507,608798,1528003
160604,710974,1532271
160101,746096,1532242
160605,717379,1526482
171201,343883,1529485
171401,374937,1524914
171202,336978,1533629
130702,498306,1517642
190106,648937,1511024
130701,498767,1527000
10306,323986,1521318
10509,255158,1519772
130401,463772,1524592
10806,289226,1522874
171404,367788,1523765
160706,756287,1521538
170106,356623,1525307
160302,743605,1524625
160301,739007,1520381
10808,282727,1526288
10803,271259,1522069
190104,630988,1509592
190105,631067,1518062
10305,317913,1517033
130404,466445,1519991
10304,327301,1515941
130206,523329,1521100
190504,606110,1514116
160603,727599,1521913
160703,772571,1512474
160406,677870,1503499
160404,693695,1514833
160705,762682,1523953
160601,708457,1522651
171203,333710,1521316
10802,296905,1521985
171204,345139,1522378
10805,281876,1522401
160403,703457,1517195
220203,324720,1577414
160900,702305,1578542
220504,437132,1584802
220502,415176,1566003
190301,627576,1571218
220104,404686,1582437
220204,313079,1573441
220103,381024,1575193
190303,668921,1580130
160800,745413,1591054
220405,357664,1594576
190305,640738,1581351
130306,461509,1578725
220403,355433,1577845
220503,425179,1584442
130301,489470,1582243
130304,487952,1563465
10701,288891,1559989
160802,726802,1562313
130305,463941,1555530
160801,739068,1558964
160905,714718,1563015
160907,703053,1560478
160910,694811,1556659
130302,518534,1566815
220101,397396,1563825
220505,431982,1575257
220201,299908,1572330
220105,406164,1555702
220401,335066,1573219
220106,386559,1559080
220501,439275,1567165
220304,345375,1553754
220302,361433,1548705
220304,326392,1548108
130406,447372,1521225
160906,713359,1548655
190304,637723,1541346
130205,524577,1534975
130203,535612,1536789
220506,428508,1554971
220404,342943,1565334
130303,501405,1550039
220402,332966,1562970
130207,562150,1553471
220202,314455,1554132
160103,750934,1549418
190302,661987,1547939
160102,761476,1535653
160904,707512,1542060
160901,702589,1539427
130402,462840,1537015
220301,338005,1539922
160602,721073,1540043
10302,315657,1531862
171206,353296,1535845
10706,287380,1546931
10702,276978,1544878
130202,555049,1538876
130208,584343,1543667
10704,296744,1545474
160104,740281,1541392
160908,683362,1541603
10301,324602,1536786
170711,342442,1493221
170602,330646,1503412
10608,274061,1502032
190506,591982,1495798
190102,656227,1488312
10905,240515,1497362
170715,360156,1501019
190501,568810,1496636
160502,729298,1486671
170703,352169,1505207
10405,301880,1499266
130509,514466,1497854
170306,396158,1498404
170301,386815,1500347
10607,282680,1502093
130510,503608,1494765
170712,363364,1496770
10505,265324,1496579
10906,254079,1494133
10902,217863,1496776
10904,222397,1496176
10903,230068,1495363
170204,371622,1496099
10205,294651,1498827
160506,744234,1489928
10605,276106,1499125
10603,287137,1501470
10503,257370,1500410
160505,713276,1499100
170716,351298,1499827
170603,330474,1499233
170609,337579,1497606
170202,378554,1492988
190402,611535,1492704
10213,295256,1495182
170404,446321,1485104
190403,604958,1489922
170606,331888,1485554
10201,288702,1490136
170304,390003,1493577
10901,215317,1495530
160401,698123,1475378
190101,622398,1489124
10209,287633,1498113
10404,323202,1488351
190502,581448,1492222
170701,351982,1493906
10202,279799,1496166
170303,386241,1488667
170708,347961,1484799
171301,422365,1487194
10206,287842,1487066
170305,396173,1488812
10203,272362,1487778
10204,297753,1488044
171107,401626,1484150
160501,713970,1475102
190401,612808,1487095
170707,355051,1483567
