CODEKHUM,mean_elev,med_elev
20307,10.1845345,10
31506,64.74815358,61
190204,63.99122457,58
180206,5.043126685,5
180206,29.76423301,9
10206,10.86140711,9
190506,75.42728883,77
40506,9.225426279,10
100210,28.52637814,28
120303,11.42105263,11
120304,11.09302326,11
190205,121.8446733,124
120301,11,11
120302,11.4375,11
10903,97.12373237,74
150308,48.85145406,14
210906,41.85779007,40
220405,219.6297837,230
10904,98.56575705,90
190507,58.90818742,58
220503,145.3802467,81
30610,32.42939624,30
20203,8.822754169,9
150105,6.89339806,6
240102,206.3632384,173
180302,64.92399778,68
120105,9.449152542,9
80810,15.3880284,16
160908,94.62525975,92
160505,122.981481,116
240101,370.5963964,327
160703,201.2648489,207
130702,172.8046813,99
10302,20.16063617,18
10508,46.86290929,46
160704,153.251158,141
210209,8.617060828,8
170203,56.66440176,48
40704,76.55602123,60
20505,6.919294354,7
60807,5.401215431,5
31106,58.88237587,59
40204,5.02840835,5
30704,8.091477019,8
31615,12.32266953,12
31507,14.07654646,10
90502,38.72088808,1
140704,4.635883518,5
140308,5.010889737,5
80607,4.561527118,5
30806,4.548579401,5
80504,4.640640932,5
140705,4.645179692,5
141006,7.673958893,7
50514,38.6679711,36
40507,10.06893755,9
40108,29.21540324,28
210502,4.89686597,5
50304,48.44529901,46
80811,18.0761855,18
30906,11.50392927,12
30907,12.14713091,12
60403,25.97719318,25
60206,6.569269634,6
30106,11.64748089,10
220502,95.76007491,87
30303,15.10188345,12
50104,64.05403557,59
50105,34.27392076,36
40303,14.41081081,15
10801,28.38952883,27
120504,15.0754668,15
20703,89.74146761,80
40404,5.564390699,5
190103,78.6940068,76
90202,74.81328515,42
90202,19.30434783,9
90202,32.36190476,25
90202,27.23636364,14
10606,10.73892916,10
120705,5.642579548,5
80906,8.670662746,8
10306,20.4812258,19
210407,11.04661768,5
160909,112.676958,106
70108,27.82550531,10
10403,8.953399117,8
130404,86.72154307,72
20106,18.49597198,18
130603,160.8776854,123
130405,109.333269,90
50515,28.09516029,27
10207,10.32907936,9
50106,44.75770594,45
40107,14.84729814,15
120209,10.07692308,10
40301,4.666038625,5
80911,11.40164729,10
120409,6.375,5
120112,8.849710983,9
120403,7.423728814,7
120401,9.553846154,10
120402,8.304878049,8
120205,8.957055215,9
120206,10.77966102,11
120203,11,11
120201,10.95588235,11
120202,11,11
150504,14.67635659,15
150403,40.13457965,29
10703,33.71975707,32
80608,4.512128286,5
80208,4.485458976,4
100502,99.7196324,102
50705,35.36064369,36
60706,5.799281349,5
141204,8.780468969,8
141205,11.37203791,10
120507,11.05023548,11
200307,5.038022065,5
230103,33.95542946,23
40607,23.2616342,18
30807,4.4318387,4
220304,35.57642704,37
220304,24.95625636,23
100107,15.28019043,15
60113,15.91539265,16
170408,25.13925198,18
170409,43.71860148,41
80907,6.538424476,7
80908,12.47521866,10
210104,4.669392686,5
10303,22.9526679,20
40110,13.55907089,13
80812,13.74930876,13
200705,4.377369775,4
31207,30.04015562,29
210909,15.1127779,15
171108,51.46943057,49
40109,18.02034443,18
60808,40.10036615,39
141007,8.076955118,8
210210,4.637217669,5
130704,75.29776112,70
40405,10.70359935,5
50107,18.06104454,18
50108,23.91399073,23
50109,32.70616908,32
141104,5.362987437,5
210608,4.666729679,5
200604,4.947976879,5
141206,13.18936109,13
170709,6.005508814,6
80408,4.68048297,5
200512,5,5
90702,632.0449629,631
60809,9.554856299,9
40406,5.888888889,6
40406,4.843973018,5
31407,9.909365559,10
50804,78.00306574,70
211005,4.739465338,5
130705,78.00942873,67
70109,10.20894231,8
81006,4.672155379,5
140309,5.028571429,5
200106,4.035035035,4
171401,89.89178965,70
10404,6.195325135,6
60707,11.80760449,12
40608,21.80543068,19
200707,5.229469294,5
120513,12.65574747,13
140310,5,5
30908,10.57537046,11
80209,4.563010502,5
81007,4.720205463,5
80307,9.400799782,8
80703,4.703371445,5
141105,5.23421758,5
31509,18.85073464,11
141207,5.802898551,6
20611,30.06855049,29
141106,5.553449761,5
80409,4.725285853,5
80505,4.492817947,4
80704,4.610796577,5
31408,8.095935912,8
81105,5.348030716,5
31510,62.31806737,59
80114,5.367656913,5
20503,6.955400828,7
90203,92.26928705,65
140706,4.698854962,5
140707,4.745239659,5
80609,4.566509199,5
30705,6.750977171,7
81008,4.333004602,4
30706,6.760894095,5
140607,5,5
70612,5.368700861,5
120708,7.462252138,8
80308,9.49877836,8
20504,6.786215773,7
190301,93.8914087,81
20501,5.956658635,5
210105,6.776270987,5
80909,4.823394495,5
31409,11.96927789,12
120603,7.00506103,6
100305,40.41796058,40
20302,9.49626556,9
80610,4.614602744,5
80115,4.571749382,5
80611,4.957726426,5
81102,7.230130486,7
31410,5.656923761,5
100108,47.8322768,44
140608,4.855240242,5
80410,4.078835429,4
80116,5.044025157,5
80309,11.50105866,13
80310,6.889792331,5
30808,4.590748264,5
140806,4.604856795,5
120709,7.900365935,8
80910,5.507979376,5
80210,4.381499936,4
80411,4.770220588,5
70711,259.1950055,172
80506,4.771834993,5
31508,10.41889349,9
190403,67.85773243,69
210402,25.70262618,5
