year,codekhum,khum_name,area,diffPix
2007,70303,Boeng Nimol,31762552.21,0
2007,210505,Romenh,70032248.23,0
2007,90103,Ta Nuon,169573.23,0
2007,210506,Thlea Prachum,33465294.21,0
2007,70105,Dan Koum,30084059.38,0
2007,211005,Prambei Mom,22095292.08,0
2007,70109,Praphnum,26146020.39,0
2007,70314,Tramaeng,16877401.66,0
2007,70308,Lbaeuk,106112541.1,0
2007,70110,Samlanh,25105149.4,0
2007,211006,Angk Kaev,32910935.55,0
2007,70310,Mean Chey,14875019.51,0
2007,70307,Krang Snay,24484273.12,0
2007,210303,Doung Khpos,28178043.3,0
2007,211002,Angk Khnaor,18588703.97,0
2007,210301,Bourei Cholsar,67372980.46,0
2007,200504,Chamlang,41595673.21,0
2007,200703,Kandieng Reay,26652629.23,0
2007,210601,Angkanh,12674797.78,0
2007,210909,Popel,23155871.41,0
2007,210902,Cheang Tong,32377544.71,0
2007,200604,Pou Ta Hao,2592273.61,0
2007,200601,Svay Rieng,5474975.79,0
2007,80503,Khpob ateav,39161219.33,0
2007,140602,Kampong Prasat,41996587.41,0
2007,210104,Ponley,53999752.11,0
2007,140603,Kaoh Chek,36733374.09,0
2007,90104,Thma Sa,241889774,0
2007,210711,Trea,25561092.42,0
2007,200102,Bavet,48039480.36,0
2007,200701,Chrak Mtes,64984118.97,0
2007,210914,Trapeang Thum Khang Cheu,26737405.57,0
2007,90604,Chrouy Svay,287761067.7,0
2007,90202,Phnhi Meas,265792.21,0
2007,140303,Cheang Daek,70766233.11,0
2007,90202,Phnhi Meas,136311.06,0
2007,200603,Koy Trabaek,8994621.76,0
2007,210102,Ba Srae,43261685.67,0
2007,140312,Prey Poun,19486293.84,0
2007,210106,Prey Phkoam,47549507.36,0
2007,140304,Chrey,23028955.75,0
2007,200210,Svay Toea,21244886.43,0
2007,140606,Krang Ta Yang,32018514.55,0
2007,210706,Lumchang,26975155.32,0
2007,210908,Otdam Souriya,27973598.19,0
2007,80409,Preaek Chrey,59260335.47,0
2007,200515,Svay Thum,42088782.56,0
2007,200503,Chambak,35703110.44,0
2007,200107,Prey Angkunh,20657121.5,0
2007,200209,Svay Ta Yean,44280921.68,0
2007,210915,Trapeang Thum Khang Tbou,32782706.1,0
2007,80412,Sampov Lun,64160824.56,0
2007,200204,Preah Ponlea,28020507.94,0
2007,200707,Prasout,34780610.75,0
2007,200108,Prey Kokir,40916061.25,0
2007,70405,Srae Knong,63439519.35,0
2007,200502,Basak,49223591.57,0
2007,200101,Bati,41684486.65,0
2007,210904,Leay Bour,63089712.13,0
2007,140902,Banteay Chakrei,84080128.78,0
2007,200511,Kruos,49432241.16,0
2007,80401,Chheu Khmau,50900912.54,0
2007,90201,Kaoh Sdach,168473818.2,-31
2007,90202,Phnhi Meas,174024.16,0
2007,200105,Me Sa Thngak,27169410.95,0
2007,210910,Samraong,25619649.76,0
2007,70403,Snay Anhchet,58831114.24,0
2007,200207,Samlei,52328187.27,0
2007,140908,Preah Sdach,54877905.74,0
2007,140302,Cham,46666540.37,0
2007,210901,Angk Ta Saom,32091566.97,0
2007,140609,Ruessei Srok,48718685.92,0
2007,200106,Prasat,27449966.76,0
2007,80507,Sandar,36248404.03,0
2007,140608,Preaek Sambuor,24401695.63,0
2007,70700,NA,759039652.4,-10
2007,210101,Angkor Borei,47799356.16,0
2007,210912,Ta Phem,30904690.67,0
2007,210802,Roka Knong,18342012.34,0
2007,210801,Baray,42668379.3,0
2007,40406,Pralay Meas,31252666.23,0
2007,100204,Kantuot,121187692.5,0
2007,40111,Trapeang Chan,38943309.56,0
2007,100209,Kracheh,4159568.42,0
2007,150501,Chamraeun Phal,58955709.99,0
2007,60102,Ballangk,43147446.04,0
2007,150407,Samraong,546587011.7,0
2007,31514,Tuol Sambuor,182304781.4,-88
2007,100505,Svay Chreah,748940353.5,-64
2007,40102,Chhnok Tru,29989561.31,0
2007,40406,Pralay Meas,102232420.3,0
2007,150401,Bak Chenhchien,40663258.56,0
2007,150311,Tnaot Chum,169101105.9,0
2007,40102,Chhnok Tru,1623459.74,0
2007,150403,Phteah Rung,156079832.7,0
2007,40102,Chhnok Tru,466082.27,0
2007,100306,Ruessei Kaev,99610157.7,-75
2007,110302,Saen Monourom,380870762.8,0
2007,40402,Dar,87299776.32,0
2007,40110,Ponley,6241802.09,0
2007,40104,Khon Rang,31522775.45,0
2007,110504,Romonea,59989787.74,0
2007,100301,Chambak,108511862.1,-28
2007,100305,Preaek Prasab,187619847.1,-212
2007,40103,Chak,16492761.24,0
2007,40104,Khon Rang,1166063.55,0
2007,40105,Kampong Preah Kokir,10979658.49,0
2007,100211,Roka Kandal,23998684.81,0
2007,60108,Chong Doung,126931421.5,0
2007,31506,Ou Mlu,143247844.6,-3
2007,31503,Dang Kdar,197504910.6,0
2007,60110,Kokir Thum,164216410.4,0
2007,110105,Srae Preah,666049933.9,0
2007,40106,Melum,52444631.27,0
2007,60107,Chhuk Khsach,53073507.24,0
2007,40405,Pou,90505790.91,0
2007,40109,Popel,28042005.97,0
2007,60103,Baray,141851046.2,0
2007,40108,Pech Changvar,55743049.67,0
2007,150604,NA,865889103.4,-20
2007,150603,NA,656859925.9,-97
2007,31501,Areaks Tnaot,35529372.35,-8
2007,40107,Phsar,36098791.25,0
2007,60104,Boeng,27519929.23,0
2007,150404,Prongil,1133125435,0
2007,100201,Bos Leav,69295509.91,0
2007,100213,Thma Andaeuk,57786777.12,0
2007,40105,Kampong Preah Kokir,59808294.46,0
2007,40101,Anhchanh Rung,68231922.33,0
2007,30204,Lvea Leu,29110450.32,0
2007,30205,Spueu,30869618.25,0
2007,31510,Preaek Kak,173734806,0
2007,100303,Kampong Kor,51862360.83,0
2007,40407,Samraong Saen,46069850.38,0
2007,30202,Chamkar Andoung,107998367.4,0
2007,150402,Leach,20706059.77,0
2007,150605,NA,806259256.3,-36
2007,150304,Chheu Tom,190836364,0
2007,30208,Ta Prok,17615614.53,0
2007,100308,Ta Mau,124514639.2,-288
2007,31504,Khpob Ta Nguon,110136786.1,-5
2007,100206,Kaoh Chraeng,16544737.46,0
2007,150310,Svay Sa,195795145,0
2007,100501,Khsuem,1001486964,-353
2007,60702,Chroab,63535185.79,0
2007,110502,Sokh Dom,185722330,0
2007,20612,Prey Tralach,273560851.5,0
2007,150308,Ou Sandan,85193450.48,-14
2007,20611,Preaek Chik,139167024.5,0
2007,60704,Kakaoh,123052479.3,0
2007,60310,Srayov,283802924.7,0
2007,150502,Kaoh Chum,28112024.05,0
2007,60302,Kampong Thum,7195817.25,0
2007,60304,Ou Kanthor,47357281.79,0
2007,150306,Kampong Pou,73990233.45,0
2007,150204,Kanhchor,85420485.89,0
2007,110404,Bu Sra,264288796,0
2007,60303,Kampong Roteh,639928.09,0
2007,60301,Damrei Choan Khla,9377452.68,0
2007,150203,Kandieng,28261026.42,0
2007,150301,Anlong Tnaot,97128291.81,0
2007,60703,Kampong Thma,53601684.54,0
2007,100205,Kou Loab,55468895.69,0
2007,60707,Prasat,50418971.27,0
2007,110103,Srae Chhuk,354301471.1,0
2007,100203,Dar,150491228.4,0
2007,40404,Phlov Tuk,192903378.4,0
2007,110503,Spean Mean Chey,93887094.42,0
2007,150110,Trapeang Chong,83012803.56,0
2007,150103,Khnar Totueng,53700082.58,0
2007,60708,Tang Krasang,51795709.72,0
2007,150201,Anlong Vil,31770741.87,0
2007,110403,Srae Ampum,177590297.8,0
2007,150309,Sna Ansa,87615112.54,-21
2007,150207,Svay Luong,25311015.21,0
2007,150106,Rumlech,52899303.96,0
2007,110301,Dak Dam,751967880.2,-4
2007,150302,Ansa Chambak,209643285.5,0
2007,150507,Svay at,10937236.95,0
2007,40102,Chhnok Tru,2666821.18,0
2007,150602,NA,705623846.3,-37
2007,150303,Boeng Kantuot,46917011.26,0
2007,40401,Chranouk,265236432.3,-20
2007,150202,Banteay Dei,14589350.25,0
2007,150307,Kbal Trach,172200549.1,0
2007,150209,Veal,5305074.3,0
2007,100214,Thma Kreae,18720894.86,0
2007,150109,Ta Lou,305046795.6,0
2007,60701,Boeng Lvea,8022882.93,0
2007,110504,Romonea,123248431.6,0
2007,150504,Phteah Prey,12899251.56,0
2007,110102,Me Mang,463593288.9,0
2007,150506,Roleab,204391885.1,0
2007,60111,Krava,69574561.48,0
2007,100207,Kaoh Trong,14460729.9,0
2007,100210,Ou Ruessei,31713013.25,0
2007,60117,Tnaot Chum,60518728.73,0
2007,150503,Lolok Sa,42747516.69,0
2007,60101,Bak Sna,45391543.7,0
2007,40102,Chhnok Tru,734623.07,0
2007,60706,Pnov,109237441.1,0
2007,150505,Prey Nhi,7972497.93,0
2007,100307,Saob,269488100.9,-131
2007,100208,Krakor,14349934.77,0
2007,110501,Monourom,78653790.05,0
2007,40102,Chhnok Tru,5640599.14,0
2007,60105,Chaeung Daeung,71884919.23,0
