commGIS,nd,CP,CP,CP,CP,MC,MN,FBE,FBD,FBD,FBD,FNE,FND,FM,MTSH,MTSH,SL,SL,GL,SV,NF,NF,NF,U,B,B,B,W
200416,2,992,166,1,29,95,24,84,0,0,0,0,0,0,6,0,0,11,10,0,0,0,0,0,0,0,0,0
200403,0,329,121,0,42,10,7,21,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
120705,0,127,1,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
141007,0,208,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
141107,0,191,1,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3
140206,0,639,194,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
80815,0,139,18,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120509,0,112,3,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
50714,0,1084,469,0,2,0,0,2,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80315,0,27,1,0,91,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,83,0,0,0,0,8
90403,0,19,9,0,15,1,102,32,10,0,0,7,0,0,9,0,0,0,4,0,0,183,0,0,0,0,0,88
141010,0,314,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,1,0,0,0,0
140202,0,466,44,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
120710,0,24,4,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,44
141002,0,242,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
120706,0,38,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
90402,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5
140804,0,78,2,0,403,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,3
50515,0,404,104,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90605,0,393,17,0,46,629,1096,7913,172,0,0,200,3,0,3487,15,229,324,28,0,0,366,18,0,0,0,0,19
120511,0,45,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80301,0,5,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3
120704,0,36,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1
50505,0,365,73,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50514,0,300,86,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80309,0,20,2,0,51,0,10,3,0,0,0,0,0,0,4,0,0,26,0,0,0,0,103,0,0,0,0,17
120712,0,22,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
90703,0,19,4,0,1,20,21,5666,29,2,0,0,0,0,113,0,22,18,0,0,0,0,0,0,0,0,0,0
50806,0,629,92,0,0,0,0,21,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140803,0,36,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,67,0,0,0,0,0
50401,0,559,21,0,0,1,2,19,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120711,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
50402,0,464,124,0,8,142,35,895,1244,1,0,0,0,0,93,0,14,0,0,0,0,0,0,0,0,0,0,0
50508,0,272,103,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140203,0,457,235,0,56,3,0,14,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
140808,0,82,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0
80602,0,46,0,0,170,0,0,6,0,0,0,7,0,0,0,0,0,4,0,0,0,0,282,0,0,0,0,7
90304,0,29,0,0,45,39,162,9620,3,0,0,102,0,0,322,0,21,84,0,0,0,75,0,0,0,0,0,64
120701,0,103,3,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
90303,0,1,0,0,5,1,24,1945,4,0,0,56,0,0,71,0,0,41,0,0,0,117,0,0,0,0,0,106
80816,0,257,125,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80308,0,43,0,0,34,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,2
90401,0,125,24,2,15,90,60,138,5,0,0,0,0,0,30,0,14,76,5,0,0,39,0,0,0,0,0,44
80812,0,242,93,0,69,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,19,7,0,0,0,0,9
140208,0,446,24,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
141008,0,275,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,1,0,5,0,0,0
50513,0,180,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120503,0,168,13,0,61,0,0,0,0,0,0,26,0,0,0,0,0,0,28,0,0,11,4,0,0,0,0,65
120703,0,14,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8
80305,0,13,0,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
80303,0,21,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
120709,0,37,0,0,81,0,0,2,0,0,0,0,0,0,3,0,0,5,0,0,0,0,23,3,0,0,0,28
50502,0,292,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140205,0,353,29,0,16,0,0,0,15,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0
90703,0,0,0,0,0,11,5,615,2,0,0,0,0,0,119,0,2,11,0,0,0,0,0,0,0,0,0,0
120708,0,65,0,0,30,2,0,1,0,0,0,0,0,0,2,0,0,7,0,0,0,0,10,3,0,0,0,38
80307,0,47,0,0,189,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,27
80908,0,92,18,0,71,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,26
50808,0,821,363,0,0,1,4,29,527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140406,0,491,158,0,39,0,0,0,2,0,0,0,0,0,0,0,0,0,85,0,0,0,4,0,0,0,0,0
140810,0,64,2,0,463,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
80809,0,250,92,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140401,0,356,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,2,0,0,0
80314,0,112,16,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
140204,0,360,249,0,20,4,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80909,0,13,4,0,17,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,10,0,0,0,25
140807,0,840,5,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1,30,9,0,0,0,0,0,0,0,1
80318,0,180,7,0,270,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,35,0,0,0,0,3
80901,0,160,116,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
140801,0,115,0,0,289,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
50501,0,245,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140811,0,443,0,0,299,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0
80702,0,41,9,0,72,2,15,0,0,0,0,0,0,0,1,0,0,29,0,0,0,0,41,0,0,0,0,65
50512,0,336,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80313,0,171,3,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
140403,0,408,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,10,0,0,0,0,0
140407,0,214,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,121,0,0,0,57,0,0,0,0,0
