"Gross national income (GNI) per capita (2011 PPP $)"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"173"," Ethiopia","648","..","581","..","..","..","..","..","..","..","..","..","..","..","630","..","587","..","599","..","616","..","648","..","640","..","608","..","671","..","733","..","790","..","858","..","926","..","979","..","1072","..","1160","..","1228","..","1323","..","1421","..","1527","..","1603","..","1719",".."
"92"," Fiji","5928","..","5920","..","5862","..","5802","..","5926","..","6168","..","6401","..","6166","..","6084","..","6571","..","6715","..","7139","..","7313","..","7464","..","8026","..","7279","..","7254","..","7185","..","7204","..","7181","..","7128","..","7262","..","7263","..","7690","..","7787","..","8145","..","8080","..","8324","b"
"15"," Finland","28133","..","26110","..","24833","..","24381","..","25523","..","26722","..","27824","..","29720","..","31096","..","32739","..","34658","..","35692","..","36333","..","36626","..","38468","..","39285","..","40934","..","42604","..","42656","..","39370","..","40389","..","40868","..","40120","..","39563","..","39372","..","39248","..","40066","..","41002",".."
"24"," France","29661","..","29935","..","30322","..","30039","..","30566","..","31080","..","31550","..","32283","..","33329","..","34529","..","35557","..","35963","..","35825","..","35947","..","36751","..","37168","..","37881","..","38565","..","38443","..","36999","..","37632","..","38320","..","37876","..","37892","..","38085","..","38367","..","38702","..","39254",".."
"110"," Gabon","19313","..","20003","..","18450","..","18482","..","19094","..","19290","..","19437","..","19896","..","20854","..","18139","..","16089","..","16966","..","17113","..","16766","..","15433","..","16189","..","14477","..","14551","..","13386","..","14041","..","13823","..","13712","..","14944","..","15518","..","16979","..","16482","..","16623","..","16431",".."
"174"," Gambia","1493","..","1491","..","1497","..","1482","..","1444","..","1424","..","1444","..","1394","..","1404","..","1448","..","1487","..","1514","..","1456","..","1458","..","1541","..","1478","..","1444","..","1459","..","1504","..","1543","..","1593","..","1471","..","1510","..","1545","..","1506","..","1518","..","1510","..","1516",".."
"70"," Georgia","7589","..","6014","..","3603","..","2400","..","2208","..","2273","..","2562","..","3043","..","3225","..","3350","..","3404","..","3508","..","3736","..","4183","..","4517","..","4983","..","5555","..","6206","..","6318","..","6179","..","6517","..","7101","..","7808","..","8098","..","8669","..","8766","..","8785","..","9186",".."
"5"," Germany","31793","..","32995","..","33325","..","32732","..","33196","..","33594","..","33807","..","34311","..","34853","..","35458","..","36529","..","37019","..","36821","..","36649","..","37694","..","38051","..","39828","..","41080","..","41393","..","39673","..","41236","..","43770","..","43827","..","43888","..","44429","..","44766","..","45203","..","46136",".."
"140"," Ghana","1897","..","1944","..","1967","..","2000","..","2007","..","2035","..","2077","..","2112","..","2157","..","2197","..","2215","..","2279","..","2326","..","2384","..","2445","..","2556","..","2619","..","2663","..","2836","..","2900","..","3011","..","3299","..","3446","..","3699","..","3700","..","3861","..","3889","..","4096",".."
"31"," Greece","21080","..","21554","..","21596","..","21073","..","21404","..","21752","..","22203","..","23101","..","23840","..","24194","..","24924","..","25891","..","26724","..","28009","..","29326","..","29203","..","30556","..","31243","..","30930","..","29749","..","28134","..","25428","..","24521","..","23714","..","24131","..","24251","..","24284","..","24648",".."
"75"," Grenada","6809","..","7097","..","7063","..","6729","..","6839","..","6839","..","7084","..","7406","..","8184","..","8715","..","9025","..","8683","..","8877","..","9720","..","9384","..","11410","..","10914","..","11391","..","11491","..","10350","..","10600","..","10763","..","10562","..","10865","..","11601","..","12296","..","12460","..","12864","b"
