,(Intercept),agr_gdp.lag2,dev_agr.lag2,dev_env.lag2,fdi.lag2,for_rem.lag2,gdp.lag2,gdp_gr.lag2,ind_gdp.lag2,pop_den.lag2,time,df,logLik,AICc,delta,weight
439,-7005.57121,NA,-0.201192056,-2.495591093,NA,0.089424764,-8.30840907,NA,133.571261,-302.7832802,NA,8,-117.7589181,267.5178363,92.57870381,5.18E-21
267,-1200.579031,NA,-0.768962218,NA,-1.085824955,NA,NA,NA,NA,1527.176955,NA,5,-126.2871438,267.5742875,92.63515505,5.03E-21
445,-7490.576385,NA,NA,-3.104262151,0.235082577,0.096707759,-9.390662605,NA,157.1501093,-453.0491863,NA,8,-117.7958359,267.5916718,92.65253934,4.99E-21
188,-6837.740118,56.07273595,-0.137807,NA,-0.090919775,0.083091189,-6.427780524,NA,155.2500752,NA,NA,8,-117.8008277,267.6016554,92.66252298,4.96E-21
964,-304.9667994,-47.22362859,-0.368855081,NA,NA,NA,NA,1.883294345,-23.28884037,683.4042587,1.14638481,8,-117.8020662,267.6041323,92.66499985,4.96E-21
904,-295.3281267,-50.38382317,-0.341336401,0.31257718,NA,NA,NA,NA,-25.19353678,673.0925392,1.155356722,8,-117.803034,267.6060679,92.66693549,4.95E-21
559,743.8416585,NA,-0.119262795,1.931617571,-0.512962437,NA,-2.056514744,NA,NA,NA,1.229430497,7,-121.2218619,267.6437237,92.70459128,4.86E-21
717,708.9706979,NA,NA,2.782436331,-0.688815551,NA,NA,7.882073671,-32.97340631,NA,1.328783737,7,-121.228745,267.65749,92.71835758,4.83E-21
591,682.7033713,NA,-0.235061263,1.861316739,-0.581975876,NA,NA,9.953494212,NA,NA,1.289541477,7,-121.2447928,267.6895857,92.75045324,4.75E-21
84,-8969.515661,11.7522039,-0.397786935,NA,NA,0.104607688,NA,4.416620933,NA,NA,NA,6,-124.0324133,267.7011903,92.76205785,4.72E-21
584,543.9251409,-63.73863263,-0.125449321,1.186671099,NA,NA,NA,-4.1246633,NA,NA,1.419625359,7,-121.2646835,267.7293669,92.79023449,4.66E-21
685,737.9816041,NA,NA,2.243050288,-0.537673226,NA,-1.819080308,NA,-5.727539831,NA,1.251329131,7,-121.2716531,267.7433062,92.80417372,4.62E-21
276,-8833.461722,8.49167597,-0.362907325,NA,NA,0.102455116,NA,NA,NA,44.18181324,NA,6,-124.0548057,267.745975,92.80684255,4.62E-21
339,-8761.482988,NA,-0.407497821,NA,NA,0.101525294,NA,3.088890449,NA,48.68788427,NA,6,-124.0581242,267.7526121,92.81347964,4.60E-21
715,715.8871465,NA,-0.35185381,NA,-0.604954581,NA,NA,14.96246207,-30.17427422,NA,1.305487977,7,-121.2818866,267.7637731,92.82464069,4.58E-21
505,-6913.867774,NA,NA,NA,-0.083493437,0.090430915,-9.782898544,14.72251464,129.3947922,-404.4974141,NA,8,-117.8847201,267.7694402,92.83030774,4.56E-21
