,(Intercept),corn.med.lag1,cpi.lag1,for_prod.lag1,for_rem.lag1,nfi.lag1,rice_med.lag1,rub_med.lag1,sug_med.lag1,time,df,logLik,AICc,delta,weight
193,792.6193639,NA,NA,NA,NA,NA,NA,0.049315548,-1.475884586,NA,4,-161.4914286,333.4828572,81.21108326,3.97E-19
130,795.6011236,-0.590361498,NA,NA,NA,NA,NA,NA,-1.158871936,NA,4,-161.5013721,333.5027442,81.2309703,3.93E-19
34,792.9385597,0.249541105,NA,NA,NA,NA,-0.971042055,NA,NA,NA,4,-161.5484457,333.5968914,81.32511751,3.75E-19
97,792.779134,NA,NA,NA,NA,NA,-0.918791039,0.012589489,NA,NA,4,-161.5487076,333.5974153,81.32564136,3.75E-19
18,793.046482,-0.609342603,NA,NA,NA,0.803075607,NA,NA,NA,NA,4,-161.5667434,333.6334868,81.36171286,3.68E-19
71,912.8891949,NA,-5.726972919,-0.000597465,NA,NA,NA,0.117967717,NA,NA,5,-159.8376041,333.6752081,81.40343417,3.61E-19
81,791.894291,NA,NA,NA,NA,0.859977586,NA,-0.017954056,NA,NA,4,-161.5886737,333.6773474,81.40557343,3.60E-19
83,944.2587125,NA,-6.328942501,NA,NA,1.368776567,NA,0.108680898,NA,NA,5,-159.9158876,333.8317751,81.56000118,3.33E-19
66,787.6733087,-0.9829025,NA,NA,NA,NA,NA,0.019931799,NA,NA,4,-161.7045415,333.909083,81.63730912,3.21E-19
20,943.5767815,1.524831608,-6.267033142,NA,NA,1.526771974,NA,NA,NA,NA,5,-159.9721777,333.9443555,81.67258153,3.15E-19
51,925.2876027,NA,-4.949302829,NA,NA,1.588210805,-0.752373996,NA,NA,NA,5,-160.001273,334.0025459,81.73077201,3.06E-19
8,901.6079244,0.631557459,-5.084661943,-0.000545726,NA,NA,NA,NA,NA,NA,5,-160.068571,334.1371421,81.86536817,2.86E-19
135,892.8835886,NA,-4.546486611,-0.000566841,NA,NA,NA,NA,-0.283032764,NA,5,-160.0865319,334.1730638,81.9012899,2.81E-19
39,894.8303787,NA,-4.640167597,-0.000554154,NA,NA,-0.163653859,NA,NA,NA,5,-160.0911695,334.1823389,81.910565,2.80E-19
147,924.9228275,NA,-5.221061709,NA,NA,1.345595089,NA,NA,-0.267742424,NA,5,-160.1270212,334.2540425,81.98226857,2.70E-19
195,915.3679377,NA,-5.410066822,NA,NA,NA,NA,0.121286772,-0.600131704,NA,5,-160.3409436,334.6818873,82.41011337,2.18E-19
99,916.9451771,NA,-5.479228227,NA,NA,NA,-0.359633453,0.107344195,NA,NA,5,-160.352751,334.705502,82.43372805,2.15E-19
68,919.834369,0.120645453,-5.735779694,NA,NA,NA,NA,0.09765311,NA,NA,5,-160.3854184,334.7708369,82.49906294,2.08E-19
36,910.8334896,1.507332252,-5.127465732,NA,NA,NA,-0.65593267,NA,NA,NA,5,-160.4384499,334.8768999,82.60512593,1.98E-19
132,910.6795929,0.842826371,-5.243049386,NA,NA,NA,NA,NA,-0.069240242,NA,5,-160.5186014,335.0372028,82.76542892,1.82E-19
163,901.4389951,NA,-4.625619468,NA,NA,NA,-0.233251014,NA,-0.088877999,NA,5,-160.5556485,335.111297,82.83952304,1.76E-19
53,802.6849226,NA,NA,-0.000626783,NA,1.573072564,-1.351017227,NA,NA,NA,5,-160.5925107,335.1850214,82.91324751,1.69E-19
149,798.6863509,NA,NA,-0.000693308,NA,1.273429376,NA,NA,-1.626248362,NA,5,-160.6040235,335.2080469,82.93627298,1.68E-19
192,-5765.421649,2.37538749,-2.190396812,-0.00038561,0.070731228,1.471524019,-1.777640231,NA,-0.452808549,NA,9,-150.4762022,335.3160407,83.04426678,1.59E-19
128,-5753.723942,2.332156516,-2.562190194,-0.000372573,0.070663803,1.427581465,-1.766856631,0.006285625,NA,NA,9,-150.5496284,335.4628931,83.19111922,1.48E-19
255,-5794.194084,NA,-1.763071175,-0.000472494,0.07089123,0.998135046,-1.05243404,0.094686888,-0.909718652,NA,9,-150.6801937,335.7240237,83.45224978,1.29E-19
165,793.7095731,NA,NA,-0.000604767,NA,NA,-0.65839964,NA,-1.217432549,NA,5,-160.8664087,335.7328174,83.46104351,1.29E-19
197,786.3264167,NA,NA,-0.000670439,NA,NA,NA,0.081611088,-1.800351831,NA,5,-160.8810604,335.7621207,83.49034681,1.27E-19
177,817.4110556,NA,NA,NA,NA,1.546362456,-1.277034293,NA,-1.266213505,NA,5,-160.895236,335.7904719,83.51869798,1.25E-19
134,790.7034544,-0.739576255,NA,-0.000636432,NA,NA,NA,NA,-1.289727055,NA,5,-160.9403419,335.8806838,83.60890991,1.20E-19
50,811.3190658,2.102474766,NA,NA,NA,1.933104102,-2.237616423,NA,NA,NA,5,-160.9735479,335.9470958,83.67532189,1.16E-19
22,788.2411412,-0.744694738,NA,-0.000647588,NA,0.971254371,NA,NA,NA,NA,5,-160.9927783,335.9855566,83.71378272,1.14E-19
254,-6153.899791,1.263419266,NA,-0.000425739,0.074333815,1.16800538,-1.6249652,0.032591902,-0.98872198,NA,9,-150.8437224,336.0510812,83.77930729,1.10E-19
85,785.6877572,NA,NA,-0.000638245,NA,1.031395854,NA,-0.001255147,NA,NA,5,-161.0370793,336.0741586,83.80238464,1.09E-19
101,785.6071928,NA,NA,-0.000577096,NA,NA,-0.868324205,0.026789194,NA,NA,5,-161.0931159,336.1862317,83.91445781,1.03E-19
