CODEKHUM,KHUM_NAME,perc_change_dir,perc_change
110502,Sokh Dom,0,0
20612,Prey Tralach,0,0
150308,Ou Sandan,-1.290322581,1.290322581
110403,Srae Ampum,0,0
150309,Sna Ansa,-7.829181495,7.829181495
150207,Svay Luong,#DIV/0!,#DIV/0!
150106,Rumlech,#DIV/0!,#DIV/0!
150110,Trapeang Chong,#DIV/0!,#DIV/0!
150103,Khnar Totueng,#DIV/0!,#DIV/0!
60708,Tang Krasang,0,0
150201,Anlong Vil,#DIV/0!,#DIV/0!
110103,Srae Chhuk,0.423728814,-0.423728814
100203,Dar,0,0
40404,Phlov Tuk,-29.77099237,29.77099237
110503,Spean Mean Chey,0,0
150301,Anlong Tnaot,-3.902439024,3.902439024
60703,Kampong Thma,0,0
100205,Kou Loab,0,0
60707,Prasat,#DIV/0!,#DIV/0!
60701,Boeng Lvea,#DIV/0!,#DIV/0!
110504,Romonea,0,0
150504,Phteah Prey,#DIV/0!,#DIV/0!
110102,Me Mang,0,0
150307,Kbal Trach,-2.040816327,2.040816327
150209,Veal,#DIV/0!,#DIV/0!
100214,Thma Kreae,0,0
150109,Ta Lou,0,0
150602,,-0.257400257,0.257400257
150303,Boeng Kantuot,#DIV/0!,#DIV/0!
40401,Chranouk,-1.818181818,1.818181818
150202,Banteay Dei,#DIV/0!,#DIV/0!
110301,Dak Dam,-1.843733883,1.843733883
150302,Ansa Chambak,0,0
150507,Svay at,#DIV/0!,#DIV/0!
40102,Chhnok Tru,#DIV/0!,#DIV/0!
110501,Monourom,0,0
40102,Chhnok Tru,#DIV/0!,#DIV/0!
60105,Chaeung Daeung,0,0
150302,Ansa Chambak,#DIV/0!,#DIV/0!
60706,Pnov,0,0
150505,Prey Nhi,#DIV/0!,#DIV/0!
100307,Saob,-18.92976589,18.92976589
100208,Krakor,0,0
60117,Tnaot Chum,#DIV/0!,#DIV/0!
150503,Lolok Sa,#DIV/0!,#DIV/0!
60101,Bak Sna,0,0
40102,Chhnok Tru,#DIV/0!,#DIV/0!
150506,Roleab,0,0
60111,Krava,#DIV/0!,#DIV/0!
100207,Kaoh Trong,0,0
100210,Ou Ruessei,#DIV/0!,#DIV/0!
150311,Tnaot Chum,0,0
40102,Chhnok Tru,#DIV/0!,#DIV/0!
150403,Phteah Rung,0,0
40102,Chhnok Tru,#DIV/0!,#DIV/0!
100505,Svay Chreah,-1.912803722,1.912803722
40102,Chhnok Tru,0,0
40406,Pralay Meas,-28.57142857,28.57142857
150401,Bak Chenhchien,#DIV/0!,#DIV/0!
150501,Chamraeun Phal,0,0
60102,Ballangk,0,0
150407,Samraong,-0.06351895,0.06351895
31514,Tuol Sambuor,-2.272727273,2.272727273
40406,Pralay Meas,0,0
100204,Kantuot,0,0
40111,Trapeang Chan,0,0
