CommCode,Commune,2010,diffPix,2011,diffPix,2012,diffPix,2013,diffPix,2014,diffPix,2015,diffPix,,,
60603,Klaeng,597,na,594,3,592,2,592,0,592,0,592,0,,,
60604,Mean Ritth,8706,na,8675,31,8671,4,8651,20,8650,1,8650,0,,,
60605,Mean Chey,1015,na,1015,0,959,56,909,50,888,21,888,0,,,
60606,Ngan,794,na,773,21,749,24,748,1,748,0,748,0,,,
60607,Sandan,2266,na,2250,16,2214,36,2210,4,2210,0,2210,0,,,
60608,Sochet,4835,na,4785,50,4727,58,4684,43,4654,30,4654,0,,,
60609,Tum Ring,3133,na,2987,146,2926,61,2832,94,2802,30,2802,0,,,
60701,Boeng Lvea,7336,na,7198,138,6867,331,6474,393,6459,15,6459,0,,,
60702,Chroab,27,na,27,0,27,0,27,0,27,0,27,0,,,
60703,Kampong Thma,22,na,22,0,22,0,22,0,22,0,22,0,,,
60704,Kakaoh,32,na,32,0,32,0,32,0,32,0,32,0,,,
60705,Kraya,5498,na,5034,464,5012,22,4887,125,4887,0,4887,0,,,
60706,Pnov,366,na,366,0,366,0,366,0,366,0,366,0,,,
60708,Tang Krasang,1,na,1,0,1,0,1,0,1,0,1,0,,,
60709,Ti Pou,625,na,625,0,625,0,625,0,625,0,625,0,,,
60801,Banteay Stoung,2,na,2,0,2,0,2,0,2,0,2,0,,,
60802,Chamnar Kraom,639,na,608,31,608,0,608,0,608,0,608,0,,,
60804,Kampong Chen Cheung,3,na,3,0,3,0,3,0,3,0,3,0,,,
60806,Msar Krang,297,na,150,147,150,0,150,0,150,0,150,0,,,
60807,Peam Bang,104,na,60,44,60,0,60,0,60,0,60,0,,,
60808,Popok,1625,na,1580,45,1564,16,1551,13,1551,0,1551,0,,,
60809,Pralay,288,na,279,9,279,0,279,0,279,0,279,0,,,
60812,Samprouch,417,na,313,104,313,0,313,0,313,0,313,0,,,
60813,Trea,205,na,205,0,205,0,205,0,205,0,205,0,,,
70102,Angkor Chey,6,na,6,0,6,0,6,0,6,0,6,0,,,
70104,Dambouk Khpos,56,na,56,0,56,0,56,0,56,0,56,0,,,
70105,Dan Koum,4,na,4,0,4,0,4,0,4,0,4,0,,,
