,(Intercept),agr_gdp,dev_agri,dev_env,fdi,for_rem,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
826,-6409.184034,-0.971767897,NA,NA,0.005989891,0.085455112,0.368508748,NA,NA,-596.3240723,1.066619904,8,-90.51858235,210.1280738,13.24942182,0.000376566
858,-6308.556648,-4.211205378,NA,NA,0.023133692,0.084472465,NA,-1.609756734,NA,-598.2678144,1.070922758,8,-90.63954631,210.3700017,13.49134975,0.000333662
861,-6295.132836,NA,NA,0.188091648,0.013442235,0.084290484,NA,-1.552391994,NA,-592.0155401,1.079076165,8,-90.79153244,210.673974,13.79532201,0.000286616
798,-6307.700399,-4.18878423,NA,0.199267895,0.002980118,0.084551211,NA,NA,NA,-603.137691,1.062725627,8,-90.80653542,210.7039799,13.82532796,0.000282348
955,-6388.491619,NA,0.048468015,NA,0.034150309,0.085366443,0.159638456,NA,13.659053,-609.4035714,1.045967416,9,-87.35600131,210.7120026,13.83335065,0.000281217
891,-6483.791528,NA,0.044238053,NA,0.025709246,0.085880839,0.753645332,-4.205826274,NA,-580.9025711,1.081844442,9,-87.4505791,210.9011582,14.02250624,0.000255839
924,-6350.460799,0.71069757,0.04971766,NA,0.039556493,0.08502118,NA,NA,15.20877809,-610.6073399,1.046323272,9,-87.48489462,210.9697892,14.09113728,0.000247209
927,-6348.322692,NA,0.04969152,0.030426143,0.037140194,0.085004185,NA,NA,14.65748979,-611.1818231,1.045621685,9,-87.4896836,210.9793672,14.10071523,0.000246028
983,-6305.732562,NA,0.053890111,0.255734778,NA,0.084579821,NA,-1.673954111,11.12543493,-609.9695939,1.054659266,9,-87.52794294,211.0558859,14.17723392,0.000236793
951,-6389.293022,NA,0.047650129,0.191224287,NA,0.085398041,0.25985998,NA,10.38191605,-609.795073,1.047648145,9,-87.67245936,211.3449187,14.46626676,0.00020493
884,-6477.819884,0.457417735,0.043653843,NA,NA,0.085931255,0.756968949,-3.660790765,NA,-586.8838034,1.077451655,9,-87.81281933,211.6256387,14.74698669,0.000178094
948,-6405.420758,1.834324647,0.046398357,NA,NA,0.085577039,0.300553369,NA,11.30683111,-609.8905252,1.048859495,9,-87.88832815,211.7766563,14.89800434,0.000165141
980,-6317.292906,-0.868943554,0.050999024,NA,NA,0.084768632,NA,-1.322131592,11.20162039,-614.6540109,1.050277106,9,-87.96957833,211.9391567,15.0605047,0.000152254
920,-6322.933209,-0.921530852,0.048916263,0.194526349,NA,0.08482822,NA,NA,11.29210011,-614.7402928,1.045608839,9,-88.0408339,212.0816678,15.20301583,0.000141783
1017,-6439.344596,NA,NA,NA,0.039747439,0.085600793,0.473982901,-2.740829421,7.667268861,-592.7366284,1.071594669,9,-88.57313946,213.1462789,16.26762695,8.33E-05
