fid,KHUM50_,KHUM50_ID,CODEKHUM,KHUM_NAME,PERIMETER,AREA,HISTO_50,HISTO_60,HISTO_61,HISTO_62,HISTO_70,HISTO_80,HISTO_90,HISTO_100
227,228,10209,10209,Ruessei Kraok,26973.87,40015921.29,0,0,0,0,0,0,0,0
228,229,190101,190101,Kampun,62182.37,178642114.5,327,504,0,0,0,0,0,97
229,230,190502,190502,Chamkar Leu,52570.32,160016491,559,276,0,0,0,0,0,885
230,231,10404,10404,Prasat,84345.67,194773535.4,0,33,0,0,1,0,0,47
231,232,10202,10202,Bat Trang,29659.61,40691766.28,0,0,0,0,0,0,0,0
232,233,170701,170701,Sasar Sdam,33124.18,55303823.31,0,0,0,0,0,0,0,0
233,234,190402,190402,Sarh Ruessei,38375.13,47848724.57,19,113,0,0,0,0,0,2
234,235,170202,170202,Leang Dai,45177.45,88552987.22,16,0,0,0,0,0,0,6
235,236,170404,170404,Khvav,133342.77,551865247.1,1493,2487,0,0,0,0,0,1036
236,237,10213,10213,Ta Lam,40827.49,36964252.37,0,2,0,0,0,0,0,0
237,238,170606,170606,Sambuor,74845.13,149105904.9,14,0,0,0,5,0,0,201
238,239,190403,190403,Preah Bat,41268.13,55124145.17,30,0,0,0,0,0,0,0
239,240,170304,170304,Rumchek,18113.47,19355226.79,3,0,0,0,0,0,0,2
240,241,10201,10201,Banteay Neang,46669.47,52564379.9,0,0,0,0,0,0,0,0
241,242,190401,190401,Stung Treng,53811.76,74130126.77,86,1,0,0,0,0,0,0
242,243,160501,160501,Chey Otdam,151541.01,669837734.4,96,2497,0,0,35,0,0,4624
243,244,10208,10208,Rohat Tuek,40410.99,61648266.59,0,0,0,0,0,0,0,0
244,245,170707,170707,Lvea,66448.61,130124542.4,0,3,0,0,0,0,0,117
245,246,170702,170702,Doun Kaev,29593.54,54144123.76,0,0,0,0,0,0,0,0
246,247,160402,160402,Srae Angkrong,115235.23,369047988.8,218,2107,0,0,9,0,0,1596
247,248,10212,10212,Srah Reang,26803.44,32778937.4,0,0,0,0,0,0,0,0
248,249,190203,190203,Kaoh Sralau,47221.78,86675974.28,70,12,0,0,0,0,0,258
249,250,170708,170708,Mukh Paen,54310.27,137009303.1,0,5,0,0,17,0,0,142
250,251,170303,170303,Preak Dak,33823.26,49370004.01,0,0,0,0,0,0,0,0
251,252,10206,10206,Ou Prasat,50595.15,38905911.27,0,0,0,0,0,0,0,0
252,253,171301,171301,Boeng Mealea,70080.99,187769379.7,538,252,0,0,0,0,0,38
253,254,10203,10203,Chamnaom,57305.76,114829787.4,0,0,0,0,0,0,0,0
254,255,170305,170305,Run Ta Aek,47079.2,99777545.82,39,0,0,0,0,0,0,0
255,256,171107,171107,Khnar Pou,40722.96,57238212.37,81,0,0,0,0,0,0,0
256,257,10204,10204,Kouk Ballangk,41989.91,55866461.13,0,0,0,0,0,0,0,0
257,258,130505,130505,Rik Reay,49865.45,97427064.38,53,644,0,0,0,0,0,9
258,259,21000,21000,,100566.38,452529541.1,135,0,0,0,0,0,0,48
