"","(Intercept)","corn_med.lag1","cpi.lag1","for_prod.lag1","for_rem","nfi.lag1","rice_med.lag1","rub_med.lag1","sug_med.lag1","time","df","logLik","AICc","delta","weight"
"495",-4773.61472850361,NA,-0.128136199990978,-0.000178532274659492,0.0591613049964226,NA,0.15444455823372,0.0340643353161013,-0.0157130429035585,1.06254891813109,9,-118.93605931681,272.235754997257,17.5055644760293,2.69600372362032e-05
"478",-4818.57930573702,-0.0901902856109346,NA,-0.000178763297805986,0.0596317562571264,-0.0362714580313389,NA,0.0397493013213613,-0.0339586323474526,1.05525082827005,9,-119.203119718961,272.769875801558,18.0396852803304,2.06413276992271e-05
"352",-4823.16423310177,-0.0802565447202503,0.00295330561550792,-0.000176316899280358,0.0596774886568349,-0.0413547624215803,NA,0.0378730808389517,NA,1.05642447822542,9,-119.20987071199,272.783377787616,18.0531872663881,2.05024475567252e-05
"464",-4809.43066942887,-0.0791946514103269,-0.00747892692015697,-0.000180926683945311,0.0595385373570827,NA,NA,0.0397736528955163,-0.0425938981431195,1.05434294515279,9,-119.218196832491,272.800030028619,18.069839507391,2.0332450398283e-05
"479",-4817.49859266455,NA,-0.0169539072171019,-0.000175562569726379,0.0596218536600498,-0.0292671395338259,NA,0.0362123821355511,-0.0192904911793183,1.05608097354574,9,-119.22463781063,272.812911984897,18.0827214636689,2.02019103837466e-05
"446",-4844.20657039697,-0.126325042333483,NA,-0.000151966393028691,0.0598604075031906,-0.199050004450388,0.308500434987631,NA,0.18184875847695,1.07746062311568,9,-119.494198299751,273.352032963139,18.6218424419108,1.54285036386373e-05
"447",-4857.86418018474,NA,0.0800010270629528,-0.000151003076323011,0.0599920314902266,-0.168399098434771,0.247602015422968,NA,0.15759881068038,1.07631774885894,9,-119.514700050161,273.393036463958,18.6628459427299,1.51154127301758e-05
"320",-4875.95048443998,-0.184226928261193,0.266633865573712,-0.000158926449979309,0.0601469882778055,-0.204301646824592,0.313949335424594,NA,NA,1.07726303348431,9,-119.627589310786,273.618814985208,18.8886244639797,1.35018359599748e-05
"432",-4822.91867921001,0.0617757666339518,0.0188905785872548,-0.000159334434353004,0.0596567652272132,NA,0.17229410619402,NA,0.13449881744118,1.0672776063954,9,-119.774286601852,273.912209567341,19.1820190461128,1.16595825939753e-05
"416",-4866.61473873344,0.215285445262752,0.0773807756860671,-0.000150896063563594,0.0601230354300205,-0.0442532824057109,NA,NA,0.149094382490037,1.06140287967265,9,-120.002760585782,274.3691575352,19.6389670139723,9.2780778604394e-06
"506",-4856.1355561196,-0.470961005152566,NA,NA,0.0599787429648355,-0.309844282067712,0.391182074441918,0.0342834606735943,0.0894459135122628,1.0952938647426,9,-120.450558331293,275.264753026223,20.5345625049954,5.92900645075378e-06
"380",-4873.87249347757,-0.544878317409598,0.145820539427394,NA,0.0601361040208512,-0.324612457363064,0.404663312863043,0.0375063328227711,NA,1.09670413750548,9,-120.46273808442,275.289112532475,20.5589220112476,5.85723060922069e-06
"507",-4860.93918280601,NA,-0.0321002692718876,NA,0.0600538650811996,-0.198253309496717,0.222260228324587,0.0208143910978172,0.129891891656159,1.08757785147578,9,-120.718446671742,275.80052970712,21.0703391858922,4.53564958871597e-06
"444",-4905.86265043525,-0.137184531663101,0.136988169580583,NA,0.0604850874423357,-0.272340949213554,0.310157657380371,NA,0.221112225475461,1.09483686707443,9,-120.962422725439,276.288481814514,21.558291293286,3.55371046331746e-06
"492",-4814.16160506286,-0.0820367465894497,-0.0862704509211237,NA,0.0595951543625745,NA,0.169784672514524,0.0277078208540624,0.0722773648813389,1.07867047856131,9,-121.03559231255,276.434820988736,21.7046304675083,3.30297200739132e-06
"476",-4878.94916256634,0.0686645975599379,0.0243427651583286,NA,0.0602691487112717,-0.102065603487589,NA,0.0237580094980903,0.107780117288653,1.0741013115319,9,-121.149859283575,276.663354930787,21.9331644095595,2.94631636554329e-06
"510",-4793.78125426488,-0.727534458831688,NA,-0.000189751379154015,0.0593064595173221,-0.274159556262254,0.449482599350446,0.0527009177401074,-0.0678109704396727,1.07895003347142,10,-118.076472075323,278.152944150646,23.4227536294181,1.39900474937558e-06
"384",-4815.94611101976,-0.719426612797342,0.073739084576855,-0.000184129850492807,0.0595197718032911,-0.291923081525833,0.447569157913223,0.0481081029897386,NA,1.08266405423639,10,-118.096118694984,278.192237389968,23.4620468687403,1.37178727629768e-06
"496",-4758.07388545339,-0.395180866010663,-0.0567610137040973,-0.000195088107941541,0.0589774904390439,NA,0.255154431211263,0.0473092189929234,-0.0903724624504283,1.06409713208762,10,-118.653530658676,279.307061317353,24.5768707961251,7.85607878902017e-07
"511",-4799.87026036974,NA,-0.088797972488425,-0.000170731906217511,0.0594174659637646,-0.108910445047576,0.194460698052767,0.0313030664441808,0.0129332261119311,1.06845997647501,10,-118.820856757431,279.641713514862,24.9115229936342,6.64564332850195e-07
"480",-4822.14623209587,-0.0954152301056023,0.0204841642201286,-0.00017875282727679,0.0596648590727871,-0.0384905720773924,NA,0.0396611603793411,-0.0367817651055169,1.05560426025241,10,-119.202454380626,280.404908761253,25.6747182400249,4.5374440920521e-07
"448",-4870.54241371069,-0.184537455840134,0.156486268528936,-0.000152406077998788,0.0601021133274376,-0.221720101417443,0.319296417875735,NA,0.157688304342488,1.08068557675099,10,-119.456780277433,280.913560554866,26.1833700336384,3.51851132597474e-07
"508",-4874.46588841759,-0.50761739813315,0.107177837016503,NA,0.0601474977059129,-0.325008326480227,0.397823792971314,0.0340041037007644,0.0742617454950733,1.09750438210121,10,-120.434581105301,282.869162210601,28.1389716893734,1.32344363445358e-07
"512",-4813.46772783976,-0.767137182799851,0.115331334394607,-0.000189868018985384,0.0594876389348256,-0.290455262012488,0.456665420338957,0.052411630010748,-0.0842469315475648,1.0813186682476,11,-118.053270791991,287.439874917315,32.7096843960868,1.34644245168222e-08
"257",707.634218599352,NA,NA,NA,NA,NA,NA,NA,NA,1.26572375939611,3,-148.853579371127,305.118923448137,50.388732926909,1.95088282273534e-12
