"","(Intercept)","corn_med.lag1","cpi.lag1","for_prod.lag1","nfi.lag1","rice_med.lag1","rub_med.lag1","sug_med.lag1","time","df","logLik","AICc","delta","weight"
"168",0.00162327802604457,-2.09213663353866e-06,5.69579878010755e-06,4.72360101104565e-10,NA,NA,-2.11176233574906e-07,NA,-1.54963665707946e-06,7,-157.58814312931,337.791670874005,14.4757522431862,0.000157777380912615
"183",0.00162748787753696,NA,5.29278476943088e-06,5.27189270992695e-10,NA,-5.42269678966138e-07,-2.56664269461869e-07,NA,-1.53779476354179e-06,7,-157.604958392137,337.82530139966,14.5093827688409,0.000155146494299934
"175",0.00161673334736339,NA,5.28386137980412e-06,5.18975003328774e-10,-4.40107451415484e-07,NA,-2.47382125609294e-07,NA,-1.50373601275879e-06,7,-157.606795107309,337.828974830003,14.5130561991847,0.000154861795914942
"231",0.00162454131525326,NA,5.21902925062963e-06,4.82718133379697e-10,NA,NA,-2.46992029573168e-07,-1.54698731744498e-07,-1.53289875104727e-06,7,-157.613047918609,337.841480452603,14.5255618217844,0.000153896495393618
"200",0.00163556920906245,-3.38187999243223e-06,5.08938313641707e-06,4.03830798761888e-10,NA,NA,NA,-1.27110675556012e-06,-1.5914065639655e-06,7,-157.636497713596,337.888380042576,14.5724614117573,0.00015032963860532
"144",0.00160928419258231,-3.89767596330449e-06,5.1837717507586e-06,4.81984108920517e-10,-8.2607698771351e-07,NA,NA,NA,-1.48844678072588e-06,7,-157.651818095344,337.919020806072,14.603102175253,0.000148044083645274
"152",0.00161410707103839,-4.32845703194254e-06,5.17199054267057e-06,3.74561366733043e-10,NA,5.36893916295663e-07,NA,NA,-1.51904247184704e-06,7,-157.671284421834,337.957953459053,14.6420348282347,0.000145190077806396
"79",0.00112108325364916,NA,1.06544410691366e-05,7.20246363950627e-10,-3.74416230829409e-06,NA,NA,2.05879306814964e-06,NA,6,-159.992504115814,337.985008231627,14.6690896008084,0.00014323926002006
"31",0.00111698878078429,NA,1.04907383373456e-05,5.65054658277588e-10,-3.93026605807063e-06,1.49165759525167e-06,NA,NA,NA,6,-159.998657735487,337.997315470974,14.6813968401555,0.000142360526560248
"28",0.00109349329250595,-4.98760995518756e-06,1.1060850164717e-05,NA,-3.89875653312365e-06,3.57284452870584e-06,NA,NA,NA,6,-160.004281411698,338.008562823396,14.6926441925768,0.00014156218396783
"180",0.00159356112210794,-3.71564470886074e-06,5.83122726184475e-06,NA,NA,1.14965075435552e-06,-1.3500356329963e-07,NA,-1.52043609820344e-06,7,-157.699705739509,338.014796094402,14.6988774635834,0.000141121673051904
"212",0.00160803786387719,-4.70542925077665e-06,5.50917590364524e-06,NA,NA,1.44071831683585e-06,NA,-1.21312813568649e-06,-1.56932910883448e-06,7,-157.7013883868,338.018161388984,14.7022427581653,0.000140884414718075
"47",0.00110218702329061,NA,1.2110526394681e-05,6.09493138293008e-10,-2.97710611593437e-06,NA,-1.59262754688086e-07,NA,NA,6,-160.015360598613,338.030721197225,14.7148025664064,0.000140002446338527
"215",0.001642153106644,NA,3.97336770323488e-06,4.44364965628316e-10,NA,-5.43622003001149e-07,NA,-1.51371113895655e-06,-1.56351851123717e-06,7,-157.710511953358,338.0364085221,14.7204898912815,0.000139604892163544
"207",0.0016328987094709,NA,3.93648688931024e-06,4.33320101494419e-10,-3.65973918332131e-07,NA,NA,-1.41539414970296e-06,-1.53223638002925e-06,7,-157.714722533221,338.044829681826,14.7289110510077,0.000139018310407101
"156",0.00157984882297601,-5.83262665157906e-06,5.62127931551504e-06,NA,-9.03944127486528e-07,2.0269582487055e-06,NA,NA,-1.47004600438618e-06,7,-157.715204331748,338.045793278881,14.7298746480625,0.000138951347722421
"228",0.00160599094171356,-2.41379303905975e-06,5.33282252850974e-06,NA,NA,NA,-1.20974398419623e-07,-4.54586819083186e-07,-1.54076707656345e-06,7,-157.722957677203,338.061299969791,14.7453813389724,0.000137878175635145
"172",0.001602370653177,-2.28341305280853e-06,5.44538721383888e-06,NA,1.53422990325941e-07,NA,-1.56899322936297e-07,NA,-1.52974062972292e-06,7,-157.725483959288,338.066352533961,14.7504339031424,0.000137530296076087
"204",0.00161736270804481,-3.17212113075996e-06,5.01597984945548e-06,NA,1.95593795617883e-07,NA,NA,-1.20631832018468e-06,-1.57671770416328e-06,7,-157.742351311527,338.100087238438,14.7841686076195,0.000135229978797483
"174",0.00173751564172778,-1.14894456731364e-06,NA,5.39538739475263e-10,-4.89255322547126e-07,NA,-1.42365148835334e-07,NA,-1.63530301151792e-06,7,-157.751393156383,338.11817092815,14.8022522973315,0.000134012761546868
"235",0.00161229410787638,NA,4.86234987102409e-06,NA,3.87878857770612e-07,NA,-1.83563856429406e-07,-5.21423177609914e-07,-1.54206205117101e-06,7,-157.751683939342,338.118752494069,14.8028338632503,0.000133973798584624
"230",0.00174728348338973,-1.00832180991214e-06,NA,4.8787213754098e-10,NA,NA,-1.20287220696231e-07,-6.04258871412917e-07,-1.68168792831904e-06,7,-157.75361622019,338.122617055766,14.8066984249469,0.000133715173528038
"159",0.00160882104082589,NA,3.94633620111286e-06,5.01702987791078e-10,-6.5861468467909e-07,-4.05238428092537e-07,NA,NA,-1.43454759299775e-06,7,-157.754245063402,338.123874742189,14.8079561113705,0.000133631114081729
"245",0.00174567844633429,NA,NA,5.27356762704595e-10,NA,-3.88653513868071e-07,-1.53138351824273e-07,-4.79088390810783e-07,-1.67023005456091e-06,7,-157.755537750312,338.126460116008,14.8105414851895,0.000133458482493187
"187",0.00160270688531552,NA,4.97525601773179e-06,NA,2.6234371741757e-07,7.46855775775104e-08,-2.09932183257363e-07,NA,-1.51048259323343e-06,7,-157.755801327708,338.1269872708,14.8110686399812,0.000133423310489393
"243",0.00160246116994419,NA,4.87940694325982e-06,NA,NA,2.34882398784252e-07,-1.81993405876311e-07,-3.70046747748678e-07,-1.50903508047536e-06,7,-157.755842038753,338.127068692891,14.8111500620723,0.000133417878797487
"189",0.00173736056149477,NA,NA,5.55596338684329e-10,-2.82069062195934e-07,-3.14976488400959e-07,-1.74087739503724e-07,NA,-1.63356834858407e-06,7,-157.756754214444,338.128893044273,14.8129744134545,0.00013329623374096
"237",0.00173753908909184,NA,NA,5.242070396922e-10,-3.18908146580365e-07,NA,-1.52286680797494e-07,-4.11763354393542e-07,-1.64337303656469e-06,7,-157.756934480578,338.12925357654,14.813334945721,0.000133272207109983
"16",0.00110406858696151,-8.72387363701216e-07,1.16146690316295e-05,5.92595950816784e-10,-3.09242576673399e-06,NA,NA,NA,NA,6,-160.065408060297,338.130816120593,14.8148974897743,0.000133168125925792
