,(Intercept),agr_gdp.lag1,dev_agr.lag1,dev_env.lag1,fdi.lag1,gdp.lag1,gdp_gr.lag1,ind_gdp.lag1,pop_den.lag1,time,df,logLik,AICc,delta,weight
77,0.00129952,NA,NA,-1.65E-05,1.90E-06,NA,NA,4.73E-06,NA,NA,5,-144.135672,302.8867285,11.13118667,0.00050737
75,0.001255097,NA,1.57E-06,NA,1.35E-06,NA,NA,-6.42E-06,NA,NA,5,-144.1511821,302.9177489,11.16220703,0.000499562
8,0.001555143,0.000154665,1.33E-06,-6.54E-06,NA,NA,NA,NA,NA,NA,5,-144.172376,302.9601366,11.20459474,0.000489086
295,0.001862788,NA,-8.32E-07,-6.95E-06,NA,NA,3.43E-05,NA,NA,-1.90E-06,6,-141.9905646,302.9811291,11.22558726,0.000483979
52,0.000698379,0.00019315,1.63E-06,NA,NA,3.51E-05,-0.000126964,NA,NA,NA,6,-142.0277268,303.0554537,11.2999118,0.000466323
105,0.001315085,NA,NA,NA,1.35E-06,NA,-6.09E-05,-2.17E-05,NA,NA,5,-144.2220422,303.059469,11.30392718,0.000465388
42,0.001296359,3.86E-06,NA,NA,1.41E-06,NA,-6.09E-05,NA,NA,NA,5,-144.2237933,303.0629711,11.30742927,0.000464574
68,0.001509571,0.00013748,1.59E-06,NA,NA,NA,NA,-6.69E-06,NA,NA,5,-144.2362948,303.0879742,11.33243236,0.000458802
71,0.001450399,NA,1.21E-06,-5.61E-06,NA,NA,NA,-0.000101593,NA,NA,5,-144.2693674,303.1541195,11.3985776,0.000443876
117,0.000660762,NA,NA,-1.53E-05,NA,3.93E-05,-0.00012135,-0.000255934,NA,NA,6,-142.0961234,303.1922468,11.43670498,0.000435495
101,0.001533122,NA,NA,-8.62E-06,NA,NA,-4.71E-05,-0.000139554,NA,NA,5,-144.2912568,303.1978983,11.44235644,0.000434266
54,0.000640814,0.000216634,NA,-1.49E-05,NA,4.10E-05,-9.05E-05,NA,NA,NA,6,-142.1248532,303.2497064,11.49416459,0.000423161
38,0.001537636,0.00010584,NA,-9.95E-06,NA,NA,-3.26E-05,NA,NA,NA,5,-144.317656,303.2506967,11.49515485,0.000422951
115,0.000684108,NA,1.28E-06,NA,NA,3.33E-05,-0.000146411,-0.000183194,NA,NA,6,-142.1280069,303.2560138,11.5004719,0.000421828
181,0.002474237,NA,NA,-1.46E-05,NA,2.53E-05,-9.46E-05,NA,-0.001184213,NA,6,-142.1594083,303.3188165,11.56327468,0.000408788
179,0.002288606,NA,1.18E-06,NA,NA,2.09E-05,-0.000117343,NA,-0.001017482,NA,6,-142.1614194,303.3228389,11.56729701,0.000407967
70,0.001592765,0.000111982,NA,-1.06E-05,NA,NA,NA,-6.23E-05,NA,NA,5,-144.3661316,303.3476479,11.592106,0.000402938
98,0.001493895,4.34E-06,NA,NA,NA,NA,-5.19E-05,-0.000126667,NA,NA,5,-144.3906557,303.396696,11.64115417,0.000393176
59,0.000587602,NA,1.53E-06,NA,1.05E-06,2.81E-05,-0.000150316,NA,NA,NA,6,-142.2085482,303.4170964,11.66155456,0.000389186
241,0.001695686,NA,NA,NA,NA,3.06E-05,-0.000110952,-0.000143328,-0.000681194,NA,6,-142.2197597,303.4395195,11.6839776,0.000384847
74,0.001387435,8.16E-05,NA,NA,1.09E-06,NA,NA,1.47E-06,NA,NA,5,-144.4145894,303.4445634,11.6890215,0.000383878
61,0.000502803,NA,NA,-1.76E-05,1.42E-06,3.35E-05,-0.00012279,NA,NA,NA,6,-142.2434495,303.486899,11.73135711,0.000375837
178,0.001603958,0.00011177,NA,NA,NA,3.22E-05,-9.62E-05,NA,-0.00064455,NA,6,-142.2582193,303.5164386,11.76089677,0.000370327
114,0.000592525,8.08E-05,NA,NA,NA,3.90E-05,-0.000115919,-0.000131557,NA,NA,6,-142.2738056,303.5476112,11.79206934,0.0003646
55,0.000584143,NA,1.20E-06,-7.10E-06,NA,3.15E-05,-0.000131988,NA,NA,NA,6,-142.2966404,303.5932808,11.83773898,0.000356368
121,0.00060335,NA,NA,NA,-3.43E-07,3.90E-05,-0.000127918,-0.000227219,NA,NA,6,-142.2975436,303.5950872,11.83954533,0.000356047
167,0.004713413,NA,1.71E-06,-1.20E-05,NA,NA,-8.69E-05,NA,-0.00230503,NA,6,-142.3118744,303.6237489,11.86820703,0.000350981
185,0.001886915,NA,NA,NA,3.35E-07,2.70E-05,-0.00010745,NA,-0.000856399,NA,6,-142.3278134,303.6556267,11.90008485,0.000345431
58,0.000544606,0.000143909,NA,NA,1.86E-07,3.87E-05,-0.000107219,NA,NA,NA,6,-142.3383918,303.6767837,11.92124182,0.000341796
164,0.004499056,0.000107055,2.33E-06,NA,NA,NA,-9.13E-05,NA,-0.002098341,NA,6,-142.3739723,303.7479445,11.99240266,0.000329848
171,0.004042591,NA,2.07E-06,NA,6.93E-07,NA,-0.000105511,NA,-0.00189705,NA,6,-142.3971204,303.7942408,12.0386989,0.000322301
227,0.004420098,NA,2.00E-06,NA,NA,NA,-0.000100275,-7.29E-05,-0.002085553,NA,6,-142.4154732,303.8309465,12.07540464,0.00031644
150,0.002518353,0.000227512,NA,-1.76E-05,NA,2.30E-05,NA,NA,-0.000987356,NA,6,-142.5080269,304.0160538,12.26051198,0.000288466
173,0.004578178,NA,NA,-2.10E-05,1.05E-06,NA,-4.44E-05,NA,-0.002224681,NA,6,-142.6184557,304.2369113,12.48136945,0.000258307
213,0.003231344,NA,NA,-1.85E-05,NA,1.54E-05,NA,-0.000151684,-0.001445983,NA,6,-142.622717,304.245434,12.4898921,0.000257209
136,0.004761683,0.000146864,1.37E-06,-1.32E-05,NA,NA,NA,NA,-0.002226431,NA,6,-142.6619992,304.3239983,12.56845646,0.000247301
148,0.002875438,0.000205523,1.15E-06,NA,NA,1.61E-05,NA,NA,-0.001190261,NA,6,-142.6787093,304.3574185,12.60187666,0.000243203
86,0.000990881,0.00027484,NA,-1.73E-05,NA,3.27E-05,NA,-9.16E-05,NA,NA,6,-142.6833134,304.3666268,12.61108494,0.000242086
