,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,pop_den,time,df,logLik,AICc,delta,weight
6,478.3739852,-217.4449788,NA,1.060716246,NA,NA,NA,NA,NA,4,-149.1316586,308.9299839,24.20810265,1.17E-06
65,-532.2399811,NA,NA,NA,NA,NA,NA,941.424623,NA,3,-150.7621651,309.0243302,24.30244892,1.12E-06
57,1183.139647,NA,NA,NA,-0.914914262,-10.98966362,83.33505144,NA,NA,5,-147.5175049,309.3207241,24.59884278,9.65E-07
240,-405.0292515,2.441139648,0.080174169,1.757613396,0.005197291,NA,-13.09241945,814.782118,1.205542113,9,-136.6804264,309.3608528,24.63897154,9.46E-07
98,-406.4182259,-163.5676777,NA,NA,NA,NA,28.05311177,707.6747763,NA,5,-147.5769947,309.4397036,24.71782235,9.09E-07
1,732.564,NA,NA,NA,NA,NA,NA,NA,NA,2,-152.4514865,309.6088553,24.88697398,8.36E-07
68,-388.5034715,-185.3127958,0.342715884,NA,NA,NA,NA,672.8423388,NA,5,-147.7265187,309.7387517,25.01687037,7.83E-07
97,-529.6397194,NA,NA,NA,NA,NA,46.99685739,941.381239,NA,4,-149.6022751,309.8712168,25.14933554,7.33E-07
74,-235.039533,-178.2218526,NA,NA,-0.390446017,NA,NA,588.858658,NA,5,-147.8027403,309.8911949,25.1693136,7.26E-07
42,609.4421223,-160.2752296,NA,NA,-0.784373917,NA,36.9146093,NA,NA,5,-147.8976498,310.081014,25.35913267,6.60E-07
28,821.1718469,-243.7020305,0.33096481,NA,-0.201975293,-10.47891992,NA,NA,NA,6,-145.8273191,310.1161767,25.39429544,6.48E-07
24,807.9089821,-256.2395843,0.345188552,1.847370815,NA,-11.0773564,NA,NA,NA,6,-145.8298839,310.1213063,25.39942502,6.47E-07
41,824.1631361,NA,NA,NA,-1.14030018,NA,59.32473345,NA,NA,4,-149.7277883,310.1222432,25.40036191,6.46E-07
176,672.7251555,-37.04534492,0.118712378,3.118118454,-0.355999553,NA,-10.49581583,NA,1.102208061,8,-140.548652,310.188213,25.46633174,6.25E-07
84,695.3431759,-247.1403899,0.32772425,NA,NA,-10.53342759,NA,80.43543248,NA,6,-145.8923197,310.2461779,25.52429661,6.08E-07
70,-393.9568439,-189.59958,NA,1.032396398,NA,NA,NA,673.3782337,NA,5,-148.0301895,310.3460933,25.62421199,5.78E-07
9,803.1828368,NA,NA,NA,-0.911034468,NA,NA,NA,NA,3,-151.4289181,310.3578362,25.63595495,5.75E-07
33,735.1061719,NA,NA,NA,NA,NA,47.00049681,NA,NA,3,-151.4807924,310.4615848,25.73970351,5.46E-07
