,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
96,0.001436892,0.000336863,-1.05E-06,-8.53E-06,9.16E-09,2.67E-05,NA,-0.000256783,NA,NA,8,-149.3941463,327.8792018,21.44837688,2.59E-06
251,0.00068963,NA,-7.71E-07,NA,-1.69E-07,3.11E-05,-0.000108423,-0.000464991,0.000268157,NA,8,-149.4320851,327.9550793,21.52425439,2.49E-06
247,0.000646577,NA,-7.32E-07,1.07E-06,NA,3.07E-05,-0.000109976,-0.000448755,0.000288729,NA,8,-149.4327,327.9563092,21.52548429,2.49E-06
127,0.001119852,NA,-7.83E-07,2.35E-06,-3.73E-07,2.91E-05,-0.000103496,-0.000458116,NA,NA,8,-149.4383955,327.9677001,21.53687523,2.47E-06
220,0.001642172,0.000305861,-1.09E-06,NA,-2.52E-07,2.48E-05,NA,-0.000255648,-0.000140618,NA,8,-149.4798667,328.0506426,21.6198177,2.37E-06
190,0.000537828,0.000354776,NA,-5.31E-06,1.21E-06,2.88E-05,-5.50E-05,NA,0.000366618,NA,8,-149.5010815,328.093072,21.66224714,2.32E-06
253,0.000654411,NA,NA,1.55E-06,2.35E-08,2.97E-05,-0.000129668,-0.000436805,0.000287346,NA,8,-149.5041241,328.0991573,21.6683324,2.32E-06
222,0.001803458,0.000397953,NA,-7.72E-06,1.96E-07,2.26E-05,NA,-0.000166377,-0.000206092,NA,8,-149.5771102,328.2451295,21.81430464,2.15E-06
160,0.001112698,0.000423685,-5.50E-07,-7.71E-06,1.11E-06,2.44E-05,NA,NA,0.000121114,NA,8,-149.6279297,328.3467685,21.91594362,2.05E-06
238,0.003520017,0.00021153,NA,-1.84E-06,4.80E-07,NA,-2.86E-05,-0.000198093,-0.001133176,NA,8,-150.0579562,329.2068215,22.77599662,1.33E-06
208,0.003556158,0.000250875,-4.31E-07,-3.76E-06,4.54E-07,NA,NA,-0.000187706,-0.001123655,NA,8,-150.0646087,329.2201264,22.78930151,1.32E-06
223,0.001942613,NA,-1.75E-06,-1.26E-06,-4.24E-07,1.94E-05,NA,-0.000428504,-0.000422724,NA,8,-150.0753683,329.2416457,22.8108208,1.31E-06
507,0.001996477,NA,-1.70E-07,NA,-7.22E-07,2.12E-05,2.53E-05,-0.000102332,-0.000529441,-1.75E-06,9,-148.4824871,332.9649741,26.53414924,2.03E-07
509,0.002002638,NA,NA,5.37E-07,-7.06E-07,2.08E-05,2.23E-05,-9.29E-05,-0.000534607,-1.77E-06,9,-148.4857894,332.9715788,26.54075392,2.03E-07
506,0.00197009,-8.85E-06,NA,NA,-6.75E-07,2.09E-05,2.10E-05,-9.75E-05,-0.000516305,-1.78E-06,9,-148.4858632,332.9717264,26.54090151,2.03E-07
476,0.001637408,-2.04E-05,-5.60E-08,NA,-5.74E-07,2.33E-05,NA,-0.000142559,-0.000323358,-1.62E-06,9,-148.4977708,332.9955416,26.56471673,2.00E-07
478,0.001663532,-2.34E-05,NA,4.60E-07,-5.84E-07,2.30E-05,NA,-0.000137269,-0.000340981,-1.64E-06,9,-148.4979596,332.9959192,26.56509429,2.00E-07
