"","year","commGIS","ForPix","khum_name","area","diffPix"
"317",2007,80402,0,"Chrouy Ta Kaev",35487739.13,0
"318",2007,140313,0,"Thkov",29693541.54,0
"319",2007,140308,0,"Peam Montear",71437006.39,0
"320",2007,90103,2212,"Ta Nuon",263218165.2,-7
"321",2007,90103,2212,"Ta Nuon",169573.23,0
"322",2007,90103,2212,"Ta Nuon",616256.95,0
"323",2007,90103,2212,"Ta Nuon",4078294.49,0
"324",2007,140901,0,"Angkor Reach",42272197.23,0
"325",2007,90801,338,"Chamkar Luong",111567556.8,0
"326",2007,200705,51,"Popeaek",41816406.82,0
"327",2007,210709,0,"Soeng",30122578.15,0
"328",2007,200704,0,"Monourom",16564296.85,0
"329",2007,50108,0,"Pou Chamraeun",28608915.52,0
"330",2007,210702,0,"Boeng Tranh Khang Tboung",33578665.49,0
"331",2007,200508,0,"Doun Sa",27243472,0
"332",2007,200516,0,"Svay Yea",37435600.43,0
"333",2007,140103,0,"Chheu Kach",34565214.61,0
"334",2007,50114,0,"Svay Rumpea",24128430.26,0
"335",2007,81001,0,"Khpob",33293244.88,0
"336",2007,210215,0,"Trapeang Sab",24114529.28,0
"337",2007,200304,0,"Chrung Popel",25319484.82,0
"338",2007,140102,0,"Cheung Phnum",39630648.33,0
"339",2007,140107,0,"Spueu Ka",23066326.06,0
"340",2007,90102,603,"Kandaol",156885207.1,0
"341",2007,200302,0,"Thmea",19633790.47,0
"342",2007,210203,0,"Doung",24396204.21,0
"343",2007,200310,2,"Thna Thnong",29474878.59,0
"344",2007,81003,0,"Kaoh Khael",20524836.65,0
"345",2007,50310,0,"Snam Krapeu",31277530.33,0
"346",2007,210205,0,"Komar Reachea",27129044.61,0
"347",2007,210206,0,"Krang Leav",26119486.77,0
"348",2007,81007,0,"Preaek Ambel",50531527.01,0
"349",2007,50102,60,"Kat Phluk",47530960.08,0
"350",2007,140106,0,"Sdau Kaong",45723557.83,0
"351",2007,50309,0,"Sdok",26903119.87,0
"352",2007,50115,16,"Preah Khae",38507825.07,0
"353",2007,140905,0,"Kampong Soeng",39425320.46,0
"354",2007,200306,0,"Meun Chey",25231466.66,0
"355",2007,210209,0,"Pea Ream",24259400.69,0
"356",2007,50303,0,"Moha Ruessei",20295780.74,0
"357",2007,140306,5,"Kou Khchak",56620475.85,0
"358",2007,210214,0,"Trapeang Krasang",17738750.11,0
"359",2007,140703,0,"Neak Loeang",18794944.83,0
"360",2007,140707,0,"Preaek Khsay Kha",3826472.13,0
"361",2007,80506,0,"Preaek Tonloab",79091000.55,0
"362",2007,200301,0,"Bos Mon",32032845.38,0
"363",2007,140607,0,"Preaek Krabau",16346948.09,0
"364",2007,140910,0,"Rumchek",41722068.07,0
"365",2007,140601,0,"Angkor Angk",34898499.16,0
"366",2007,200517,0,"Thlok",19613260.62,0
"367",2007,140305,0,"Kansaom Ak",41326423.23,0
"368",2007,210213,0,"Tnaot",18645457.61,0
"369",2007,200309,0,"Svay Chek",31369945.14,0
"370",2007,50113,0,"Kak",23583598.48,0
"371",2007,210604,0,"Char",30641191.84,0
"372",2007,50307,0,"Prey Vihear",27320835.07,0
